Hieroglyph,"Gardiner Unicode",Description,Ideogram,Phonogram,Notes
"​",A,"","Man and his occupations","",""
"𓀀","A1 U+13000","seated man","I, me, my (masculine) ( .j ) man ( z )","","Determinative for masculine names"
"𓀁","A2 U+13001","man with hand to mouth","eat ( wnm ) drink ( zwr ) speak , think , recount ( sḏd ) refrain from speech, be(come) silent ( gr ) plan, plot ( kꜣj ) love ( mrj )","","Determinative for activities involving the mouth, head, or ideas"
"𓀂","A3 U+13002","man sitting on heel","sit, besiege, dwell ( ḥmsj )","",""
"𓀃","A4 U+13003","seated man with hands raised","offer, praise, beseech ( dwꜣ ) hide, conceal ( jmn )","",""
"𓀄","A5 U+13004","crouching man hiding behind wall","hide ( jmn )","","Determinative for words relating to concealing, secret, mysterious"
"𓀅","A5A U+13005","seated man hiding behind wall","hide ( jmn )","",""
"𓀆","A6 U+13006","seated man under vase from which water flows","to be clean ( wꜤb )","","Possibly refers to all aspects of 'clean' dependent on context, i.e. 'cleanliness', 'to cleanse', 'purify', etc."
"𓀇","A6A U+13007","seated man reaching for libation stone, under vase from which water flows","to be clean ( wꜤb )","",""
"𓀈","A6B U+13008","seated man reaching down, under vase from which water flows","to be clean ( wꜤb )","",""
"𓀉","A7 U+13009","fatigued man","to be tired or weak ( wrḏ )","",""
"𓀊","A8 U+1300A","man performing hnw -rite","rejoice , celebrate , to be jubilant ( hnw )","","Possibly also 'joyful', 'celebratory', etc."
"𓀋","A9 U+1300B","man steadying basket on head","work , toil ( kꜣt ) load (verb or noun) , burden ( ꜣdp ) carry, haul ( fꜣj )","f, .f (Ptolemaic, from fꜣj )","1a. to load, to be laden, master of the load; equals Coptic language , ⲱⲧⲡ ; (minor use for ꜣtp , ꜣṯp ); 1b. to carry, to bear; additional constructs for carrier, bearer, supporter, (and types thereof); for fꜣ dnj , the ""bearer-of-the-basket"", see: Greek Kanephoros ; 2. for kꜣt , kꜣwtj"
"𓀌","A10 U+1300C","seated man holding oar","to saw ( sqdw ) rower, oarsman ( ẖn )","",""
"𓀍","A11 U+1300D","seated man holding scepter of authority and shepherd's crook","friend ( ḫnms )","",""
"𓀎","A12 U+1300E","soldier with bow and quiver","soldier , company/unit of soldiers ( mnfyt ), army/expedition ( mšꜥ )","",""
"𓀏","A13 U+1300F","man with arms tied behind his back","enemy ( ḫfty ) rebel ( sbj )","","Possibly also 'criminal', 'traitor', 'prisoner'"
"𓀐","A14 U+13010","falling man with blood streaming from his head","die ( mwt ) enemy ( ḫfty )","","The wound is either self-inflicted or from a weapon strike. The A14 figure could be a youth or child, being depicted without clothing, while A14A would be an adult."
"𓀑","A14A U+13011","man whose head is hit with an axe","","",""
"𓀒","A15 U+13012","man falling","trap ( ḫr )","",""
"𓀓","A16 U+13013","man bowing down","to bend or bow oneself ( ksj )","","A. Determinative for ks , ksj , & ks , to bow, to do homage, to submit; B. same for ḫꜣb , (and thematic words of ḫꜣ-ꜣ-b, star & luminary, hippopotamus, lamp & light, etc.)"
"𓀔","A17 U+13014","child sitting with hand to mouth","young , child ( šrj ) orphan ( nmḥ ) child ( ẖrd, ḫy ) infant ( nnj )","ms, nn","A17, depicted with bare head, indicates the figure as a 'lower' class than A17A"
"𓀕","A17A U+13015","child sitting with arms hanging down","Noble/Aristocratic Supplement for A3 and A17 sitting , sitting youth","","The head of A17A indicates the class of the figure to be of a 'higher' class than A17"
"𓀖","A18 U+13016","child wearing red crown","foster child ( jmty )","",""
"𓀗","A19 U+13017","bent man leaning on staff","old , to be fragile ( jꜥw ) elder ( smsw ) great ( wr ) to lean ( rhn ) to hit ( ḥwj )",jk,"Perhaps also wise and sage"
"𓀘","A20 U+13018","man leaning on forked staff","elder ( smsw )","",""
"𓀙","A21 U+13019","man holding staff with handkerchief","Civil Servant ( sr ) Courtier ( smr ) great ( wr ) strike ( ḥwj )","",""
"𓀚","A22 U+1301A","statue of man with staff and scepter of authority","statue ( ḥnṯ ), ( twt )","",""
"𓀛","A23 U+1301B","king with staff and mace with round head","monarch , lord , ruler ( jty )","",""
"𓀜","A24 U+1301C","man striking with both hands","to hit or strike ( ḥwj ) power , strength ( nḫt ) teach lesson or instruct ( sbꜣ ) call ( njs ) be happy ( ḥꜥj )","",""
"𓀝","A25 U+1301D","man striking, with left arm hanging behind back","to hit or strike ( ḥwj )","","Most likely synonymous with A24"
"𓀞","A26 U+1301E","man with one arm pointing forward","call ( njs, Ꜥš )","",""
"𓀟","A27 U+1301F","hastening man","bring ( jnj )",jn,""
"𓀠","A28 U+13020","man with hands raised on either side","to be high, in high spirits, elevate ( qꜣj ) mourn ( ḥꜣj )","",""
"𓀡","A29 U+13021","man upside down","headlong or head over heels ( sḫd )","",""
"𓀢","A30 U+13022","man with hands raised in front","praise , adore , laud , thank ( dwꜣ )","",""
"𓀣","A31 U+13023","man with hands raised behind him","to turn away ( Ꜥn )","",""
"𓀤","A32 U+13024","man dancing with arms to the back","dance ( ḫbj ) cheer , rejoice ( hy-hnw ) dance, dancer ( jb )","",""
"𓀥","A32A U+13025","man dancing with arms to the front","(see above)","",""
"𓀦","A33 U+13026","man with stick and bundle on shoulder","to herd, shepherd ( mnjw ) journey , tramp ( ḫwsj ) construction , ( qd ) foreign , strange ( šmꜣw )","",""
"𓀧","A34 U+13027","man pounding in a mortar","to stomp ( ḫwsj )","","Man grinding (etc.); to grind in a mortar, to build, to construct, etc."
"𓀨","A35 U+13028","man building wall","to build ( qd )","","Man constructing: a "" Mason ""; Ideogram or det. for qd , Coptic “ⲔⲰⲦ“  ""to construct""; (see Wall, (Collapsing)-Wall)"
"𓀩","A36 U+13029","man kneading into vessel","brewer ( ꜥftj ) grind ( nḏ )","",""
"𓀪","A37 U+1302A","man in vessel","brewer ( ꜥftj )","",""
"𓀫","A38 U+1302B","man holding necks of two emblematic animals with panther heads","Cusae ( qjs )","",""
"𓀬","A39 U+1302C","man on two giraffes","Cusae ( qjs )","",""
"𓀭","A40 U+1302D","seated god","I, me, my (when the speaker is a god) ( .j ) God ( nṯr )","","Determinative for God’s names"
"𓀮","A40A U+1302E","seated god with Was-sceptre","I, me, my (when the speaker is a god) ( .j ) God ( nṯr )","",""
"𓀯","A41 U+1302F","king with uraeus","king ( nsw ) majesty ( ḥm ) I, me, my (when speaker is a king) ( .j )","",""
"𓀰","A42 U+13030","king with uraeus and flagellum","king ( nsw ) majesty ( ḥm ) I, me, my (when speaker is a king) ( .j )","",""
"𓀱","A42A U+13031","king with uraeus and flagellum","king ( nsw ) majesty ( ḥm ) I, me, my (when speaker is a king) ( .j )","",""
"𓀲","A43 U+13032","king wearing white crown","King of Upper Egypt ( nsw ) Osiris ( wsjr )","",""
"𓀳","A43A U+13033","king wearing white crown with sceptre","King of Upper Egypt ( nsw ) Osiris ( wsjr )","",""
"𓀴","A44 U+13034","king wearing white crown with flagellum","King of Upper Egypt ( nsw ) Atum ( jtmw )","",""
"𓀵","A45 U+13035","king wearing red crown","King of Lower Egypt ( bjtj ) King ( nsw )",n,""
"𓀶","A45A U+13036","king wearing red crown with sceptre","Atum ( jtmw )",n,""
"𓀷","A46 U+13037","king wearing red crown with flagellum","King of Lower Egypt ( bjtj )","",""
"𓀸","A47 U+13038","shepherd seated and wrapped in mantle, holding stick","shepherd ( mnjw ) guard ( sꜣw )","",""
"𓀹","A48 U+13039","beardless man seated and holding knife","belonging to, keeper ( jrj ) Guardian, keeper ( jrj )","",""
"𓀺","A49 U+1303A","seated Syrian holding stick","foreigner , Asian ( ꜥꜣmw )","",""
"𓀻","A50 U+1303B","noble on chair","courtier ( smr ) I, me, my (when speaker is a nobleman) ( .j ) noble ( šps )","",""
"𓀼","A51 U+1303C","noble on chair with flagellum","to be of noble blood ( špsj ) undertake a task ( špsj )","",""
"𓀽","A52 U+1303D","noble squatting with flagellum","to be of noble blood ( špsj )","",""
"𓀾","A53 U+1303E","standing mummy","Image ( twt )","","Form, likeness, image, (double) Tutankhamun : Form-Living-(of)- Amun"
"𓀿","A54 U+1303F","lying mummy","death ( mnj )","",""
"𓁀","A55 U+13040","mummy on bed","lie down, spend the night ( sḏr ) corpse ( ẖꜣt )","","Overnight  meaning an overnight stay in any location, i.e. 'spend the night at  home', 'spent the night in a hotel', 'slept over at (random person's  name)'s house', etc."
"𓁁","A56 U+13041","seated man holding stick","","",""
"𓁂","A57 U+13042","man holding loaf on mat","An offering which the King gives ( ḥtp-dj-nsw )","","Abbreviation for the beginning of the Offering Formula ."
"𓁃","A58 U+13043","man applying hoe to ground","","",""
"𓁄","A59 U+13044","man threatening with stick","","",""
"𓁅","A60 U+13045","man sowing seeds","Spill, pour ( stj )","",""
"𓁆","A61 U+13046","man looking over his shoulder","","",""
"𓁇","A62 U+13047",Asiatic,"","",""
"𓁈","A63 U+13048","king on throne holding staff","","",""
"𓁉","A64 U+13049","man sitting on heels holding forward cup","","",""
"𓁊","A65 U+1304A","man wearing tunic with fringes and holding mace","","",""
"𓁋","A66 U+1304B","man holding sistrum","Ihy ( jḥy ) Great God (Ptolemaic) ( nṯr-Ꜥꜣ )","",""
"𓁌","A67 U+1304C",dwarf,"","",""
"𓁍","A68 U+1304D","man holding up knife","Black eye paint ( msdmt )","",""
"𓁎","A69 U+1304E","seated man with raised right arm and left arm hanging down","","",""
"𓁏","A70 U+1304F","seated man with raised arms","Heh ( ḥḥ )","",""
"​",B,"","Woman and her occupations","",""
"𓁐","B1 U+13050","seated woman","woman ( zt ) I, me, my (when speaker is feminine) ( .j )","","Determinative for feminine names"
"𓁑","B2 U+13051","pregnant woman","to be pregnant ( bkꜣ ) conceive ( jwr )","",""
"𓁒","B3 U+13052","woman giving birth","to give birth ( msj ) conceive ( jwr )","",""
"𓁓","B4 U+13053","combination of woman giving birth and three skins tied together","to give birth ( msj )","",""
"𓁔","B5 U+13054","woman suckling child","to nurse , to nurture , to care for ( rnn ) wet nurse (noun def. 1) ( mnꜥt )","",""
"𓁕","B5A U+13055","woman suckling child (simplified)","","",""
"𓁖","B6 U+13056","woman on chair with child on lap","to nurse , to nurture , to care for ( rnn )","",""
"𓁗","B7 U+13057","queen wearing diadem and holding flower","","",""
"𓁘","B8 U+13058","woman holding lotus flower","","",""
"𓁙","B9 U+13059","woman holding sistrum","","",""
"​",C,"","Anthropomorphic deities","",""
"𓁚","C1 U+1305A","god with sun-disk and uraeus","Ra ( rꜤ )","",""
"𓁛","C2 U+1305B","god with falcon head and sun-disk holding ankh","Ideogram and Determinative for Ra ( rꜤ )","","Variant of C1 god with sun-disk and uraeus"
"𓁜","C2A U+1305C","god with falcon head and sun-disk","Id. & Det. for Ra ( rꜤ )","",""
"𓁝","C2B U+1305D","C2A reversed","Ra ( rꜤ )","",""
"𓁞","C2C U+1305E","C2 reversed","Ra ( rꜤ )","",""
"𓁟","C3 U+1305F","god with ibis head","Id. & Det. for Thoth ( ḏḥwty )","",""
"𓁠","C4 U+13060","god with ram head","Id. & Det. for Khnum ( ẖnmw )","",""
"𓁡","C5 U+13061","god with ram head holding ankh","Id. & Det. for Khnum ( ẖnmw )","","Variant of C4 god with ram head"
"𓁢","C6 U+13062","god with jackal head","Id. & Det. for Anubis ( jnpw ) Id. & Det. for Wepwawet ( wp-wꜣwt )","",""
"𓁣","C7 U+13063","god with Seth-animal head","Id. & Det. for Seth ( stḫ, stẖ, stš )","",""
"𓁤","C8 U+13064","ithyphallic god with two plumes, uplifted arm and flagellum","Id. & Det. for Min ( mnw )","",""
"𓁥","C9 U+13065","goddess with horned sun-disk","Id. & Det. for Hathor ( ḥwt-ḥr )","",""
"𓁦","C10 U+13066","goddess with feather","Id. & Det. for Maat ( mꜣꜥt )","",""
"𓁧","C10A U+13067","goddess with feather holding ankh","Id. & Det. for Maat ( mꜣꜥt )","",""
"𓁨","C11 U+13068","god with arms supporting the sky and palm branch on head","Id. & Det. for Heh ( ḥḥ ) Million ( ḥḥ )","","Million, many Heh (god)"
"𓁩","C12 U+13069","god with two plumes and scepter","Id. & Det. for Amun ( jmn )","",""
"𓁪","C13 U+1306A","C12 reversed","Amun ( jmn )","",""
"𓁫","C14 U+1306B","god with two plumes and scimitar","Amun is with his Strong Arm (Amunherkhepeshef) ( jmn-ḥr-ḫpš.f )","","Abbreviated form found In royal cartouches."
"𓁬","C15 U+1306C","C14 reversed","Amun is with his Strong Arm (Amunherkhepeshef) ( jmn-ḥr-ḫpš.f )","","Abbreviated form found In royal cartouches."
"𓁭","C16 U+1306D","god wearing red crown with ankh","Id. & Det. for Atum ( jtmw )","",""
"𓁮","C17 U+1306E","god with falcon head and two plumes","Id. & Det. for Montu ( mnṯw )","",""
"𓁯","C18 U+1306F","squatting god","Id. & Det. for Tatenen ( tꜣ-ṯnn )","",""
"𓁰","C19 U+13070","mummy-shaped god","Id. & Det. for Ptah ( ptḥ ) Divine ( nṯry )","",""
"𓁱","C20 U+13071","mummy-shaped god in shrine","Id. & Det. for Ptah ( ptḥ ) Divine ( nṯry )","","Variant of C19 mummy-shaped god"
"𓁲","C21 U+13072",Bes,"Bes ( bs )","",""
"𓁳","C22 U+13073","god with falcon head and moon","Id. & Det. for Khonsu ( ḫnsw )","",""
"𓁴","C23 U+13074","goddess with feline head and sun with uraeus","Id. & Det. for Sekhmet ( sḫmt ), Menhit ( mnḥyt ), Mehit ( mḥyt ), Bastet ( bꜣstt )","",""
"𓁵","C24 U+13075","god wearing red crown with scepter","Id. & Det. for Atum ( jtmw )","",""
"​",D,"","Parts of the human body","",""
"𓁶","D1 U+13076",head,"head ( dp ) ( ḏꜣḏꜣ ) back of head ( ḥꜣ ) behind ( ḥꜣ ) neglect , to leave behind ( mkḥꜣ )","","1. Ideogram for dp , ""head""; other uses related to actions of the head; (example ""the dp of the rebels"", 'the ""chief"" of the rebels') 2. also for dp , see archaic dagger 3. ( Narmer Palette shows 10 enemy heads-(decapitated)) Possibly ancestral to Proto-Sinaitic Resh and its descendants"
"𓁷","D2 U+13077",face,"face ( ḥr ) on, around , over , for ( ḥr )","ḥr","1. Bil. hr -(ḥr) 2. Ideogram for 'face' 3. A major preposition for ""on, upon"", etc.; additional preposition constructs."
"𓁸","D3 U+13078",hair,"hair ( šnj ) skin ( jnm ) color ( jwn ) empty , barely , loss of hair ( wš )","",""
"𓁹","D4 U+13079",eye,"eye ( jrt ) make, create, do ( jrj ) see ( mꜣꜣ ) watch , to be watchful , to be awake ( rs ) to be blind ( šp )",jr,"Part of the name Osiris Possibly ancestral to Proto-Sinaitic Ayin and its descendants"
"𓁺","D5 U+1307A","eye touched up with paint","eye ( jrt ) view ( dgi ) to be blind ( šp )","",""
"𓁻","D6 U+1307B","eye with painted upper lid","eye ( jrt ) view ( dgi ) to be blind ( šp )","",""
"𓁼","D7 U+1307C","eye with painted lower lid","eye make-up / eye paint ( msdmt ) decorate , adorn , to be beautiful ( ꜥn ) view ( ptr ) see ( mꜣꜣ ) (seldom, rarely used)","",""
"𓁽","D8 U+1307D","eye enclosed in sandy tract","decorate , adorn , to be beautiful ( ꜥn )","",""
"𓁾","D8A U+1307E","eye with painted lower lid enclosed in sandy tract","decorate , adorn , to be beautiful ( ꜥn )","",""
"𓁿","D9 U+1307F","eye with flowing tears","weep ( rmj ) person ( rmṯ ) (Ptolemaic rebus)","",""
"𓂀","D10 U+13080","Eye of Horus","Wedjat-eye ( wḏꜣt ) Eye ( jrt ) Bright ( bꜣq , in bꜣqt Egypt )","","Eye of Horus"
"𓂁","D11 U+13081","left part of the eye of Horus","abbreviation for Heqat-measure grain: 1/2","",""
"𓂂","D12 U+13082",pupil,"Eye ( jr ) (Pars-pro-toto substitution) abbreviation for Heqat-measure grain: 1/4","","Determinative for pupil (ḏfḏ)"
"𓂃","D13 U+13083",eyebrow,"abbreviation for Heqat-measure grain: 1/8",smd,""
"𓂄","D14 U+13084","right part of eye of Horus","abbreviation for Heqat-measure grain: 1/16","",""
"𓂅","D15 U+13085","diagonal marking of eye of Horus","abbreviation for Heqat-measure grain: 1/32","",""
"𓂆","D16 U+13086","vertical marking of eye of Horus","abbreviation for Heqat-measure grain: 1/64","",""
"𓂇","D17 U+13087","diagonal and vertical markings of eye of Horus","Image ( twt )","",""
"𓂈","D18 U+13088",ear,"to listen ( sḏm ) Ear ( msḏr )","",""
"𓂉","D19 U+13089","nose, eye and cheek","nose ( fnḏ ), smell ( sn ), be happy ( ršw ), face, front ( ḫnt ),","ḫnt","Ideogram or det. for the ""nose"", fnḏ/fnd, det. for words relating to smell, joy, and the nose"
"𓂊","D20 U+1308A","nose, eye and cheek (cursive)","nose ( fnḏ ), smell ( sn ), be happy ( ršw ), face, front ( ḫnt ),","","Ideogram or det. for the ""nose"", fnḏ/fnd, det. for words relating to smell, joy, and the nose"
"𓂋","D21 U+1308B",mouth,"mouth, utterance ( r[ꜣ] ) Turn about ( pẖr )","r, jw (Ptolemaic)","Possibly ancestral to Proto-Sinaitic Pe and its descendants"
"𓂌","D22 U+1308C","mouth with two strokes","2/3 ( rꜣwj )","",""
"𓂍","D23 U+1308D","mouth with three strokes","3/4 ( ḫmt-rꜣw )","",""
"𓂎","D24 U+1308E","upper lip with teeth","Lip ( spt )","",""
"𓂏","D25 U+1308F",lips,"(both) lips ( sptj )","",""
"𓂐","D26 U+13090","liquid issuing from lips","spit ( psg ) to spit, to vomit ( bšj ) blood ( snf )","p (Ptolemaic)",""
"𓂑","D27 U+13091","small breast","to suckle ( snq ) breast ( mnḏ ) wet nurse ( mnꜥt )","",""
"𓂒","D27A U+13092","large breast","to suckle ( snq ) breast ( mnḏ ) wet nurse ( mnꜥt )","",""
"𓂓","D28 U+13093","two arms upraised","the Ka (life spirit) ( kꜣ )","kꜣ",""
"𓂔","D29 U+13094","combination of hieroglyphs D28 and R12","the Ka (life spirit) ( kꜣ )","",""
"𓂕","D30 U+13095","two arms upraised with tail","The god Nehebkau ( nḥb-kꜣw )","",""
"𓂖","D31 U+13096","arms embracing club","mortuary priest ( ḥm-kꜣ )","",""
"𓂗","D31A U+13097","two arms uppraised and club","mortuary priest ( ḥm-kꜣ )","",""
"𓂘","D32 U+13098","arms embracing","enclose ( jnq ) embrace ( ḥpt, sḫn ) open the arms ( pgꜣ )","",""
"𓂙","D33 U+13099","arms rowing","to row ( ẖnj )","ẖn",""
"𓂚","D34 U+1309A","arms with shield and battle axe","Fight, combat ( ꜥḥꜣ )","",""
"𓂛","D34A U+1309B","arms with shield and mace","Fight, combat ( ꜥḥꜣ )","",""
"𓂜","D35 U+1309C","arms in gesture of negation","not ( n , nn ) that which is not ( jwtj ) to not know ( ḫm ) shrine ( ḫm ) forget ( smḫ )","n, nj",""
"𓂝","D36 U+1309D","forearm (palm upwards)","arm ( ꜥ ) cubit ( mḥ )","ꜥ","Uniliteral sign representing Egyptian ayin Possibly ancestral to Proto-Sinaitic Yodh and its descendants"
"𓂞","D37 U+1309E","forearm with bread cone","give (jmj) give ( rḏj , ḏj )","ḏ (only in ḏdw busiris), d, mj, m",""
"𓂟","D38 U+1309F","forearm with rounded loaf","to give ( jmj ) to give ( rḏj , ḏj ) to present ( ḥnk )","mj, m, mwt (mother)",""
"𓂠","D39 U+130A0","forearm with bowl","to present ( ḥnk )","m, mwt (Mother)",""
"𓂡","D40 U+130A1","forearm with stick","strength ( nḫt ) to strike ( ḥwj ) to examine ( ḫꜣj )","","Determinative for words involving strength, physical force, the use of the arm"
"𓂢","D41 U+130A2","forearm with palm down and bent upper arm","arm ( gbꜣ ) shoulder ( rmn ) left ( jꜣbj ) sing ( ḥsj ) bend ( ḥms ) end ( grḥ ) negation ( nj )",nj,""
"𓂣","D42 U+130A3","forearm with palm down and straight upper arm","Cubit ( mḥ )","",""
"𓂤","D43 U+130A4","forearm with flail","protect ( ḫwj )","",""
"𓂥","D44 U+130A5","arm with sekhem scepter","control ( ḫrp )","",""
"𓂦","D45 U+130A6","arm with wand","sacred, holy, be holy ( ḏsr )","","to be holy , to segregate See ḏsr"
"𓂧","D46 U+130A7",hand,"hand ( ḏrt )","d, rarely t","Possibly ancestral to Proto-Sinaitic Kaph and its descendants"
"𓂨","D46A U+130A8","liquid falling from hand","to cense, to pour out a libation ( jdj ) dew ( jdt, jꜣdt )","",""
"𓂩","D47 U+130A9","hand with palm up","hand ( ḏrt ) receive ( sšp, šsp )","",""
"𓂪","D48 U+130AA","hand without thumb","hand width ( šsp )","",""
"𓂫","D48A U+130AB","hand holding egg","","",""
"𓂬","D49 U+130AC",fist,"grasp ( ꜣmm, ḫfꜥ )","",""
"𓂭","D50 U+130AD","one finger","finger ( ḏbꜥ ) abbreviation for 10,000 ( ḏbꜥ )","",""
"𓂮","D50A U+130AE","two fingers","20,000","",""
"𓂯","D50B U+130AF","three fingers","30,000","",""
"𓂰","D50C U+130B0","four fingers","40,000","",""
"𓂱","D50D U+130B1","five fingers","50,000","",""
"𓂲","D50E U+130B2","six fingers","60,000","",""
"𓂳","D50F U+130B3","seven fingers","70,000","",""
"𓂴","D50G U+130B4","eight fingers","80,000","",""
"𓂵","D50H U+130B5","nine fingers","90,000","",""
"𓂶","D50I U+130B6","five fingers (row)","50,000","",""
"𓂷","D51 U+130B7","one finger (horizontal)","finger nail ( ꜥnt ) Activities with finger: measure ( ḫꜣj ), take ( ṯꜣj ), press ( dqr )","",""
"𓂸","D52 U+130B8",phallus,"phallus ( ḥnn ) man-like, man ( ṯꜣy ) donkey ( ꜥꜣ ) bull ( kꜣ ) presence ( bꜣḥ )",mt,"Excluded from default fonts by some OS vendors. [ 3 ] Excluded from default fonts by some OS vendors. [ 3 ]"
"𓂺","D53 U+130BA","phallus with emission","phallus ( ḥnn ) man-like, man ( ṯꜣy ) bull ( kꜣ ) presence ( bꜣḥ ) urinate ( wsš )","","Excluded from default fonts by some OS vendors. [ 3 ]"
"𓂻","D54 U+130BB","legs walking","stride ( nmtt ) come ( jw )",jw,"Determinative for words involving motion"
"𓂼","D54A U+130BC","hieratic legs walking","","",""
"𓂽","D55 U+130BD","legs walking backwards","come ( jw )","",""
"𓂾","D56 U+130BE",leg,"leg ( rd ) Gazelle ( gḥs ) foot, part ( wꜥrt )",pd,"Ideo. , det. for leg, to tread"
"𓂿","D57 U+130BF","leg with knife","mutilate ( jꜣtj ) injure ( nkn )","",""
"𓃀","D58 U+130C0",foot,"place ( bw )",b,""
"𓃁","D59 U+130C1","foot and forearm","","ꜥb, bꜥ",""
"𓃂","D60 U+130C2","foot under vase from which water flows","be pure, clean ( wꜥb )","",""
"𓃃","D61 U+130C3","three toes oriented leftward","toe ( sꜣḥ )","",""
"𓃄","D62 U+130C4","three toes oriented rightward","toe ( sꜣḥ )","",""
"𓃅","D63 U+130C5","two toes oriented leftward","toe ( sꜣḥ ) The god Sah ( sꜣḥ )","",""
"𓃆","D64 U+130C6","hand with palm down","","",""
